ObjectiveValue	k1	k2	k3
139.231	0.295657	0.196936	0.0001
138.547	2.59208	6.63715	1.50898
134.46	5.12021	4.86284	1.40464
128.39	0.583584	0.626936	0.0001
111.679	0.218387	0.332711	0.0001
85.0724	0.504097	0.499952	0.0168443
78.3001	0.341866	0.41886	0.018365
67.0572	0.536554	0.434717	0.0316427
62.0772	0.547032	0.44082	0.0444277
60.5763	0.56013	0.475681	0.0598474
60.5579	0.553957	0.519645	0.0612771
59.99	0.499139	0.520862	0.0631606
59.728	0.519965	0.465411	0.0574571
59.5305	0.518897	0.483642	0.0600819
59.4047	0.507767	0.482814	0.0580501
59.3638	0.457914	0.479029	0.0575018
59.2912	0.484817	0.487536	0.0596646
59.2189	0.477055	0.476852	0.0591196
59.211	0.476902	0.474751	0.0582185
59.2099	0.47519	0.473573	0.0582552
59.2091	0.475284	0.473061	0.0581471
59.2085	0.475423	0.472322	0.057768
59.2085	0.47563	0.472412	0.0578085
59.2084	0.475358	0.472296	0.0578173
59.2084	0.475669	0.47233	0.0578238
59.2084	0.475819	0.472335	0.0578325
59.2084	0.475593	0.472271	0.0578816
59.2084	0.475636	0.47174	0.0577727
59.2084	0.475439	0.471787	0.0578222
59.2083	0.475759	0.471939	0.0578073
59.2083	0.475559	0.472043	0.0578482
59.2083	0.475521	0.471906	0.0578228
59.2083	0.475439	0.471882	0.0578078
59.2083	0.475581	0.471964	0.0578167
59.2083	0.475498	0.47192	0.0577936
59.2083	0.475548	0.471931	0.0578189
59.2083	0.475585	0.471989	0.0578191
59.2083	0.475524	0.471973	0.0578146
59.2083	0.47552	0.471956	0.0578135
59.2083	0.475518	0.471956	0.0578126
5929.31	10	0.0001	10
201.662	1.54572	0.671265	0.000297663
173.68	1.7452	1.67101	0.0858657
122.048	0.820973	0.945175	0.0477667
115.498	0.547543	0.352559	0.0001
81.6568	0.473632	0.714477	0.0576465
70.7213	0.498564	0.398626	0.0247439
65.2698	0.592114	0.613709	0.0954695
63.4373	0.475166	0.555323	0.0908659
61.2594	0.388733	0.473682	0.0599122
60.3737	0.414963	0.477189	0.0633615
59.9447	0.520917	0.51007	0.0686399
59.4809	0.466348	0.44624	0.0519891
59.2517	0.460459	0.467522	0.057597
59.2399	0.473682	0.466046	0.055476
59.2098	0.477541	0.473514	0.0578629
59.2088	0.476643	0.471621	0.0577062
59.2084	0.475569	0.471629	0.0576851
59.2084	0.47555	0.47169	0.0577857
59.2084	0.4756	0.471737	0.0577684
59.2083	0.475535	0.47203	0.0577926
59.2083	0.475477	0.471853	0.0577866
59.2083	0.475519	0.471908	0.0578084
59.2083	0.475505	0.471962	0.0578121
59.2083	0.475499	0.471946	0.0578082
59.2083	0.475541	0.471948	0.0578156
59.2083	0.475509	0.471941	0.0578097
59.2083	0.475525	0.471952	0.0578117
59.2083	0.475523	0.471946	0.0578101
59.2083	0.475521	0.471943	0.0578104
59.2083	0.475529	0.471923	0.0578085
59.2083	0.475519	0.471941	0.0578086
59.2083	0.475525	0.471949	0.0578097
59.2083	0.475521	0.47194	0.0578104
5929.31	10	0.0001	10
339.616	0.000967331	0.957557	0.131231
338.816	0.000135079	0.036043	0.00101247
275.739	7.21507	0.272162	0.0312039
143.265	0.454597	1.85221	0.288531
127.851	3.40863	3.62197	0.635507
96.8158	0.806432	0.771476	0.0525493
82.6297	0.235461	0.279694	0.037315
59.6687	0.431678	0.469722	0.059266
59.5041	0.503905	0.500313	0.0611353
59.441	0.495367	0.495719	0.0594812
59.2594	0.4754	0.479171	0.0608027
59.2399	0.475359	0.479192	0.0600729
