Time	IR_beta_pY1146	IRbetaPercent	InsulinPercent
2	0.0545622	11	5
2	0.0595224	12	5
2	0.0644826	13	5
2	0.0694428	14	5
2	0.074403	15	5
2	0.0793632	16	5
2	0.0843234	17	5
2	0.0892835	18	5
2	0.0942437	19	5
2	0.0992039	20	5
2	0.104164	21	5
2	0.109124	22	5
2	0.114085	23	5
2	0.119045	24	5
2	0.124005	25	5
2	0.128965	26	5
2	0.133925	27	5
2	0.138886	28	5
2	0.143846	29	5
2	0.148806	30	5
2	0.153766	31	5
2	0.158726	32	5
2	0.163687	33	5
2	0.168647	34	5
2	0.173607	35	5
2	0.178567	36	5
2	0.183527	37	5
2	0.188487	38	5
2	0.193448	39	5
2	0.198408	40	5
2	0.203368	41	5
2	0.208328	42	5
2	0.213288	43	5
2	0.218249	44	5
2	0.223209	45	5
2	0.228169	46	5
2	0.233129	47	5
2	0.238089	48	5
2	0.24305	49	5
2	0.24801	50	5
2	0.25297	51	5
2	0.25793	52	5
2	0.26289	53	5
2	0.267851	54	5
2	0.272811	55	5
2	0.277771	56	5
2	0.282731	57	5
2	0.287691	58	5
2	0.292652	59	5
2	0.297612	60	5
2	0.302572	61	5
2	0.307532	62	5
2	0.312492	63	5
2	0.317453	64	5
2	0.322413	65	5
2	0.327373	66	5
2	0.332333	67	5
2	0.337293	68	5
2	0.342254	69	5
2	0.347214	70	5
2	0.352174	71	5
2	0.357134	72	5
2	0.362094	73	5
2	0.367055	74	5
2	0.372015	75	5
2	0.376975	76	5
2	0.381935	77	5
2	0.386895	78	5
2	0.391856	79	5
2	0.396816	80	5
2	0.401776	81	5
2	0.406736	82	5
2	0.411696	83	5
2	0.416657	84	5
2	0.421617	85	5
2	0.426577	86	5
2	0.431537	87	5
2	0.436497	88	5
2	0.441458	89	5
2	0.446418	90	5
2	0.451378	91	5
2	0.456338	92	5
2	0.461298	93	5
2	0.466259	94	5
2	0.471219	95	5
2	0.476179	96	5
2	0.481139	97	5
2	0.486099	98	5
2	0.49106	99	5
2	0.49602	100	5
2	0	0	6
2	0.00592014	1	6
2	0.0118403	2	6
2	0.0177604	3	6
2	0.0236806	4	6
2	0.0296007	5	6
2	0.0355209	6	6
2	0.041441	7	6
2	0.0473611	8	6
2	0.0532813	9	6
2	0.0592014	10	6
2	0.0651216	11	6
2	0.0710417	12	6
2	0.0769619	13	6
2	0.082882	14	6
2	0.0888021	15	6
2	0.0947223	16	6
2	0.100642	17	6
2	0.106563	18	6
2	0.112483	19	6
2	0.118403	20	6
2	0.124323	21	6
2	0.130243	22	6
2	0.136163	23	6
2	0.142083	24	6
2	0.148004	25	6
2	0.153924	26	6
2	0.159844	27	6
2	0.165764	28	6
2	0.171684	29	6
2	0.177604	30	6
2	0.183524	31	6
2	0.189445	32	6
2	0.195365	33	6
2	0.201285	34	6
2	0.207205	35	6
2	0.213125	36	6
2	0.219045	37	6
2	0.224965	38	6
2	0.230886	39	6
2	0.236806	40	6
2	0.242726	41	6
2	0.248646	42	6
2	0.254566	43	6
2	0.260486	44	6
2	0.266406	45	6
2	0.272327	46	6
2	0.278247	47	6
2	0.284167	48	6
2	0.290087	49	6
2	0.296007	50	6
2	0.301927	51	6
2	0.307847	52	6
2	0.313768	53	6
2	0.319688	54	6
2	0.325608	55	6
2	0.331528	56	6
2	0.337448	57	6
2	0.343368	58	6
2	0.349288	59	6
2	0.355209	60	6
2	0.361129	61	6
2	0.367049	62	6
2	0.372969	63	6
2	0.378889	64	6
2	0.384809	65	6
2	0.390729	66	6
2	0.39665	67	6
2	0.40257	68	6
2	0.40849	69	6
2	0.41441	70	6
2	0.42033	71	6
2	0.42625	72	6
2	0.43217	73	6
2	0.438091	74	6
2	0.444011	75	6
2	0.449931	76	6
2	0.455851	77	6
2	0.461771	78	6
2	0.467691	79	6
2	0.473611	80	6
2	0.479532	81	6
2	0.485452	82	6
2	0.491372	83	6
2	0.497292	84	6
2	0.503212	85	6
2	0.509132	86	6
2	0.515052	87	6
2	0.520973	88	6
2	0.526893	89	6
2	0.532813	90	6
2	0.538733	91	6
2	0.544653	92	6
2	0.550573	93	6
2	0.556493	94	6
2	0.562414	95	6
2	0.568334	96	6
2	0.574254	97	6
2	0.580174	98	6
2	0.586094	99	6
2	0.592014	100	6
2	0	0	7
2	0.00686964	1	7
2	0.0137393	2	7
2	0.0206089	3	7
2	0.0274786	4	7
2	0.0343482	5	7
2	0.0412179	6	7
2	0.0480875	7	7
2	0.0549572	8	7
2	0.0618268	9	7
2	0.0686964	10	7
2	0.0755661	11	7
2	0.0824357	12	7
2	0.0893054	13	7
2	0.096175	14	7
2	0.103045	15	7
2	0.109914	16	7
2	0.116784	17	7
2	0.123654	18	7
2	0.130523	19	7
2	0.137393	20	7
2	0.144263	21	7
2	0.151132	22	7
2	0.158002	23	7
2	0.164871	24	7
2	0.171741	25	7
2	0.178611	26	7
2	0.18548	27	7
2	0.19235	28	7
2	0.19922	29	7
2	0.206089	30	7
2	0.212959	31	7
2	0.219829	32	7
2	0.226698	33	7
2	0.233568	34	7
2	0.240438	35	7
2	0.247307	36	7
2	0.254177	37	7
2	0.261046	38	7
2	0.267916	39	7
2	0.274786	40	7
2	0.281655	41	7
2	0.288525	42	7
2	0.295395	43	7
2	0.302264	44	7
2	0.309134	45	7
2	0.316004	46	7
2	0.322873	47	7
2	0.329743	48	7
2	0.336613	49	7
2	0.343482	50	7
2	0.350352	51	7
2	0.357221	52	7
2	0.364091	53	7
2	0.370961	54	7
2	0.37783	55	7
2	0.3847	56	7
2	0.39157	57	7
2	0.398439	58	7
2	0.405309	59	7
2	0.412179	60	7
2	0.419048	61	7
2	0.425918	62	7
2	0.432788	63	7
2	0.439657	64	7
2	0.446527	65	7
2	0.453396	66	7
2	0.460266	67	7
2	0.467136	68	7
2	0.474005	69	7
2	0.480875	70	7
2	0.487745	71	7
2	0.494614	72	7
2	0.501484	73	7
2	0.508354	74	7
